DATE,ACTUALS,STATUS,PREDICTION,AGG_REGION,REGION,CATEGORY_NAME,RANGE_BRAND_NAME,GA1_NAME,GA2_NAME,CG1,CG2,ACTUALS_MFR,STATUS_MFR,PREDICTION_MFR
2018-10-01,6600.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,6600.0,LONG,
2018-11-01,8920.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,8920.0,LONG,
2018-12-01,8000.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,8000.0,LONG,
2019-01-01,5760.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,5760.0,LONG,
2019-02-01,11840.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,11840.0,LONG,
2019-03-01,8600.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,8600.0,LONG,
2019-04-01,11480.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,11480.0,LONG,
2019-05-01,16840.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,16840.0,LONG,
2019-06-01,13480.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,13480.0,LONG,
2019-07-01,19560.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,19560.0,LONG,
2019-08-01,2240.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,2240.0,LONG,
2019-09-01,120.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,120.0,LONG,
2019-10-01,8400.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,8400.0,LONG,
2019-11-01,0.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,0.0,LONG,
2019-12-01,0.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,0.0,LONG,
2020-01-01,17560.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,17560.0,LONG,
2020-02-01,21840.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,21840.0,LONG,
2020-03-01,23400.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,23400.0,LONG,
2020-04-01,19200.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,19200.0,LONG,
2020-05-01,33120.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,33120.0,LONG,
2020-06-01,24800.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,24800.0,LONG,
2020-07-01,24680.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,24680.0,LONG,
2020-08-01,20080.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,20080.0,LONG,
2020-09-01,30960.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,30960.0,LONG,
2020-10-01,27880.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,27880.0,LONG,
2020-11-01,30440.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,30440.0,LONG,
2020-12-01,26000.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,26000.0,LONG,
2021-01-01,20640.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,20640.0,LONG,
2021-02-01,17840.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,17840.0,LONG,
2021-03-01,38280.0,LONG,,France,France,total,R000050 - CAT CHOW,01 Pouch,total,not assigned,not assigned,38280.0,LONG,
