AGG_REGION,REGION,RANGE_BRAND_NAME,GA1_NAME,DATE,PREDICTION,ACTUALS
France,France,R000050 - CAT CHOW,01 Pouch,2018-10-01,0.0,23520.0
France,France,R000050 - CAT CHOW,01 Pouch,2019-01-01,0.0,26200.0
France,France,R000050 - CAT CHOW,01 Pouch,2019-04-01,0.0,41800.0
France,France,R000050 - CAT CHOW,01 Pouch,2019-07-01,0.0,21920.0
France,France,R000050 - CAT CHOW,01 Pouch,2019-10-01,0.0,8400.0
France,France,R000050 - CAT CHOW,01 Pouch,2020-01-01,0.0,62800.0
France,France,R000050 - CAT CHOW,01 Pouch,2020-04-01,0.0,77120.0
France,France,R000050 - CAT CHOW,01 Pouch,2020-07-01,0.0,75720.0
France,France,R000050 - CAT CHOW,01 Pouch,2020-10-01,0.0,84320.0
France,France,R000050 - CAT CHOW,01 Pouch,2021-01-01,0.0,76760.0
France,France,R000050 - CAT CHOW,01 Pouch,2021-04-01,0.0,72680.0
France,France,R000050 - CAT CHOW,01 Pouch,2021-07-01,0.0,75120.0
France,France,R000050 - CAT CHOW,01 Pouch,2021-10-01,0.0,132560.0
France,France,R000050 - CAT CHOW,01 Pouch,2022-01-01,0.0,83800.0
France,France,R000050 - CAT CHOW,01 Pouch,2022-04-01,0.0,88800.0
France,France,R000050 - CAT CHOW,01 Pouch,2022-07-01,0.0,115760.0
France,France,R000050 - CAT CHOW,01 Pouch,2022-10-01,0.0,132680.0
France,France,R000050 - CAT CHOW,01 Pouch,2023-01-01,0.0,133600.0
France,France,R000050 - CAT CHOW,01 Pouch,2023-04-01,0.0,120760.0
France,France,R000050 - CAT CHOW,01 Pouch,2023-07-01,0.0,116760.0
France,France,R000050 - CAT CHOW,01 Pouch,2023-10-01,0.0,119200.0
France,France,R000050 - CAT CHOW,01 Pouch,2024-01-01,0.0,117680.0
France,France,R000050 - CAT CHOW,01 Pouch,2024-04-01,0.0,107490.0
France,France,R000050 - CAT CHOW,01 Pouch,2024-07-01,0.0,86650.0
France,France,R000050 - CAT CHOW,01 Pouch,2024-10-01,0.0,121280.0
France,France,R000050 - CAT CHOW,01 Pouch,2025-01-01,0.0,73080.0
France,France,R000050 - CAT CHOW,01 Pouch,2025-04-01,0.0,74320.0
France,France,R000050 - CAT CHOW,01 Pouch,2025-07-01,0.0,84960.0
France,France,R000050 - CAT CHOW,01 Pouch,2025-10-01,0.0,77080.0
France,France,R000050 - CAT CHOW,01 Pouch,2026-01-01,75886.736328125,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2026-04-01,76180.62109375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2026-07-01,72497.52734375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2026-10-01,81136.77734375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2027-01-01,74882.48046875,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2027-04-01,74426.763671875,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2027-07-01,70259.578125,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2027-10-01,79478.900390625,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2028-01-01,73074.091796875,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2028-04-01,72579.58984375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2028-07-01,68475.048828125,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2028-10-01,77525.25,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2029-01-01,71254.9609375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2029-04-01,70769.42578125,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2029-07-01,66761.55859375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2029-10-01,75597.794921875,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2030-01-01,69477.50390625,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2030-04-01,69003.826171875,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2030-07-01,65092.65234375,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2030-10-01,73716.8125,0.0
France,France,R000050 - CAT CHOW,01 Pouch,2031-01-01,24352.658203125,0.0
France,France,R000053 - FELIX,01 Pouch,2015-01-01,0.0,43154273.6
France,France,R000053 - FELIX,01 Pouch,2015-04-01,0.0,61656048.0
France,France,R000053 - FELIX,01 Pouch,2015-07-01,0.0,59728846.400000006
France,France,R000053 - FELIX,01 Pouch,2015-10-01,0.0,61353654.400000006
France,France,R000053 - FELIX,01 Pouch,2016-01-01,0.0,65863664.8
France,France,R000053 - FELIX,01 Pouch,2016-04-01,0.0,63851736.8
France,France,R000053 - FELIX,01 Pouch,2016-07-01,0.0,74891269.6
France,France,R000053 - FELIX,01 Pouch,2016-10-01,0.0,67477925.6
France,France,R000053 - FELIX,01 Pouch,2017-01-01,0.0,71172085.6
France,France,R000053 - FELIX,01 Pouch,2017-04-01,0.0,70806471.2
France,France,R000053 - FELIX,01 Pouch,2017-07-01,0.0,79207833.6
France,France,R000053 - FELIX,01 Pouch,2017-10-01,0.0,76142700.8
France,France,R000053 - FELIX,01 Pouch,2018-01-01,0.0,78855025.6
France,France,R000053 - FELIX,01 Pouch,2018-04-01,0.0,70669268.8
France,France,R000053 - FELIX,01 Pouch,2018-07-01,0.0,80619532.88
France,France,R000053 - FELIX,01 Pouch,2018-10-01,0.0,78287747.72
France,France,R000053 - FELIX,01 Pouch,2019-01-01,0.0,84681501.96
France,France,R000053 - FELIX,01 Pouch,2019-04-01,0.0,75533378.43
France,France,R000053 - FELIX,01 Pouch,2019-07-01,0.0,44052314.89
France,France,R000053 - FELIX,01 Pouch,2019-10-01,0.0,0.0
France,France,R000053 - FELIX,01 Pouch,2020-01-01,0.0,90890858.89999999
France,France,R000053 - FELIX,01 Pouch,2020-04-01,0.0,81765283.61
France,France,R000053 - FELIX,01 Pouch,2020-07-01,0.0,96731069.52
France,France,R000053 - FELIX,01 Pouch,2020-10-01,0.0,107725254.06
France,France,R000053 - FELIX,01 Pouch,2021-01-01,0.0,103993925.80000001
France,France,R000053 - FELIX,01 Pouch,2021-04-01,0.0,84454671.05
France,France,R000053 - FELIX,01 Pouch,2021-07-01,0.0,88029282.72
France,France,R000053 - FELIX,01 Pouch,2021-10-01,0.0,102253940.19
France,France,R000053 - FELIX,01 Pouch,2022-01-01,0.0,85961599.81
France,France,R000053 - FELIX,01 Pouch,2022-04-01,0.0,83152723.09
France,France,R000053 - FELIX,01 Pouch,2022-07-01,0.0,89943148.03
France,France,R000053 - FELIX,01 Pouch,2022-10-01,0.0,107877372.01
France,France,R000053 - FELIX,01 Pouch,2023-01-01,0.0,120649050.84
France,France,R000053 - FELIX,01 Pouch,2023-04-01,0.0,98091853.95
France,France,R000053 - FELIX,01 Pouch,2023-07-01,0.0,111427792.47
France,France,R000053 - FELIX,01 Pouch,2023-10-01,0.0,114096661.88
France,France,R000053 - FELIX,01 Pouch,2024-01-01,0.0,119256013.50999999
France,France,R000053 - FELIX,01 Pouch,2024-04-01,0.0,101113444.47
France,France,R000053 - FELIX,01 Pouch,2024-07-01,0.0,117029604.83000001
France,France,R000053 - FELIX,01 Pouch,2024-10-01,0.0,116062176.0
France,France,R000053 - FELIX,01 Pouch,2025-01-01,0.0,134943367.84
France,France,R000053 - FELIX,01 Pouch,2025-04-01,0.0,102671511.44999999
France,France,R000053 - FELIX,01 Pouch,2025-07-01,0.0,115861664.38
France,France,R000053 - FELIX,01 Pouch,2025-10-01,0.0,136776396.82
France,France,R000053 - FELIX,01 Pouch,2026-01-01,141552374.0,0.0
France,France,R000053 - FELIX,01 Pouch,2026-04-01,109280512.0,0.0
France,France,R000053 - FELIX,01 Pouch,2026-07-01,122470668.0,0.0
France,France,R000053 - FELIX,01 Pouch,2026-10-01,143385400.0,0.0
France,France,R000053 - FELIX,01 Pouch,2027-01-01,148161376.0,0.0
France,France,R000053 - FELIX,01 Pouch,2027-04-01,115889520.0,0.0
France,France,R000053 - FELIX,01 Pouch,2027-07-01,129079668.0,0.0
