AGG_REGION,REGION,CATEGORY_NAME,RANGE_BRAND_NAME,GA1_NAME,GA2_NAME,CG1,CG2,DATE,STATUS,STATUS_MFR,MANUAL_INPUT,ACTUALS,MFR,ACTUALS_TACTICAL,FORECAST_UNIVARIATE,FORECAST_UNIVARIATE_MFR,FORECAST_UNIVARIATE_TACTICAL,TIMESTAMP,UOM,UNIT_INITIAL,SCENARIO
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,963.24986598,963.24986598,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,963.24986598,963.24986598,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1926.49973196,1926.49973196,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1926.49973196,1926.49973196,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2889.74959794,2889.74959794,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2889.74959794,2889.74959794,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1926.49973196,1926.49973196,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2021-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1926.49973196,1926.49973196,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2678.76759117,2678.76759117,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2678.76759117,2678.76759117,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1785.84506078,1785.84506078,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1785.84506078,1785.84506078,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,892.92253039,892.92253039,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,892.92253039,892.92253039,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2678.76759117,2678.76759117,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2022-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2678.76759117,2678.76759117,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,0,0,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,0,0,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,863.61440906,863.61440906,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,863.61440906,863.61440906,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2590.84322718,2590.84322718,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,2590.84322718,2590.84322718,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,863.61440906,863.61440906,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2023-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,863.61440906,863.61440906,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2024-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2025-10-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2026-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2026-01-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2026-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2026-04-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 1
AMS&AOA,AMS&AOA,total,R000059 - PRO PLAN VETERINARY DIETS,01 Pouch,total,total,total,2026-07-01,NEW LAUNCH,NEW LAUNCH,1,0,0,null,1727.22881812,1727.22881812,null,null,KG,EA,Scenario 0
